question_id,poll_id,pollster,end_date,sample_size,poll_margin,corrected_margin,true_margin,filtered,filtered_se,smoothed,smoothed_se,house_effect_assigned,total_error,sampling_noise,residual_systematic_bias,weight,sigma2_u,period
207967,88072,YouGov,2024-09-06,946.0,-2.0,-0.10470054583608612,0.8588286368531206,-0.10470054583608612,3.2506455042811377,-1.494952284894853,0.30609180249428286,-1.8952994541639139,-2.8588286368531204,1.390251739058767,-2.3537809217479735,0.0,0.0001,after_dropout
209114,88126,co/efficient,2024-09-06,917.0,0.0,-1.509263571403518,0.8588286368531206,-0.8176382540055704,2.2810480618738715,-1.494952284894853,0.30609180249428286,1.509263571403518,-0.8588286368531206,-0.014311286508664978,-2.3537809217479735,0.5075868403138858,0.0001,after_dropout
208323,88093,Morning Consult,2024-09-08,638.0,-3.289999999999999,-3.3288778225654156,0.8588286368531206,-1.465102361444363,1.9651490890715704,-1.4949783195120285,0.3057766941602938,0.03887782256541652,-4.1488286368531195,-1.8338995030533871,-2.3538069563651494,0.25782649952831965,0.0001,after_dropout
208781,88122,Redfield & Wilton Strategies,2024-09-09,626.0,-3.0,-3.1307796205684375,0.8588286368531206,-1.803251536169142,1.7543957142690285,-1.4949790931376283,0.30562105035626624,0.13077962056843734,-3.8588286368531204,-1.6358005274308092,-2.353807729990749,0.20301002062224266,0.0001,after_dropout
209378,88173,InsiderAdvantage,2024-09-12,800.0,-2.3999999999999986,-3.8805794073587982,0.8588286368531206,-2.2289514091361706,1.5644162412811253,-1.494949046156557,0.3051596403279422,1.4805794073587997,-3.258828636853119,-2.3856303612022414,-2.3537776830096777,0.20492666510233484,0.0001,after_dropout
209896,88209,Fabrizio/Impact,2024-09-14,600.0,-3.0,-2.5092003503903166,0.8588286368531206,-2.2672022409846067,1.4537979653450372,-1.4948890638970145,0.30485670434514583,-0.49079964960968325,-3.8588286368531204,-1.0143112864933022,-2.353717700750135,0.13648876487189993,0.0001,after_dropout
209897,88209,Fabrizio/Impact,2024-09-14,600.0,-1.0,-0.5092003503903167,0.8588286368531206,-2.063926187542851,1.3671661460173443,-1.4948890638970145,0.3048567043451462,-0.49079964960968325,-1.8588286368531206,0.9856887135066977,-2.353717700750135,0.1156290300535675,0.0001,after_dropout
210732,88349,Focaldata,2024-09-16,1019.0,-7.100000000000001,-3.5495739209734434,0.8588286368531206,-2.3073744303860715,1.2502080199633812,-1.4948281764163671,0.30456112467404434,-3.550426079026558,-7.958828636853122,-2.054745744557076,-2.3536568132694877,0.16386673460003892,0.0001,after_dropout
210724,88349,Focaldata,2024-09-16,1019.0,-5.699999999999996,-2.1495739209734377,0.8588286368531206,-2.285034292868204,1.1583350874927072,-1.4948281764163671,0.30456112467404434,-3.550426079026558,-6.558828636853116,-0.6547457445570706,-2.3536568132694877,0.14157202407661557,0.0001,after_dropout
210631,88349,Focaldata,2024-09-16,1019.0,-5.399999999999999,-1.8495739209734405,0.8588286368531206,-2.2313875127821365,1.0846399199289356,-1.4948281764163671,0.30456112467404434,-3.550426079026558,-6.258828636853119,-0.3547457445570734,-2.3536568132694877,0.12319555015452043,0.0001,after_dropout
210639,88349,Focaldata,2024-09-16,1019.0,-6.200000000000003,-2.649573920973445,0.8588286368531206,-2.276307250404675,1.0247318487247468,-1.4948281764163671,0.30456112467404434,-3.550426079026558,-7.058828636853123,-1.1547457445570777,-2.3536568132694877,0.10741558487474483,0.0001,after_dropout
209907,88213,Quinnipiac,2024-09-16,1075.0,-1.0,-2.8398144110748476,0.8588286368531206,-2.335054413960823,0.9698464475150826,-1.4948281764163671,0.30456112467404434,1.8398144110748478,-1.8588286368531206,-1.3449862346584804,-2.3536568132694877,0.10425273653360634,0.0001,after_dropout
209904,88213,Quinnipiac,2024-09-16,1075.0,-1.0,-2.8398144110748476,0.8588286368531206,-2.3836157413949093,0.9220140137906768,-1.4948281764163671,0.30456112467404434,1.8398144110748478,-1.8588286368531206,-1.3449862346584804,-2.3536568132694877,0.09620676700161848,0.0001,after_dropout
210072,88233,Marist College,2024-09-17,1312.0,-3.0,-2.50633102755606,0.8588286368531206,-2.3962827644703526,0.8731831126905095,-1.494723626683914,0.30443273584179587,-0.49366897244394004,-3.8588286368531204,-1.011607400872146,-2.3535522635370345,0.10322286221790401,0.0001,after_dropout
