question_id,poll_id,pollster,state,start_date,end_date,mode,population,sample_size,pct_harris_poll,pct_trump_poll,pct_dk,p_trump_true,p_harris_true,abs_margin,A,poll_level,period,duration_days,days_before_election
142439,74819,McLaughlin,national,2021-05-12,2021-05-18,Online Opt-In Panel,lv,1000.0,45.0,49.0,6.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.055153402814257214,national,before_dropout,7,1267
142927,74995,Echelon Insights,national,2021-06-18,2021-06-22,Online Opt-In Panel,rv,1001.0,47.0,40.0,13.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,-0.1912725531221718,national,before_dropout,5,1232
142946,74998,McLaughlin,national,2021-06-16,2021-06-20,Online Opt-In Panel,lv,1000.0,45.0,49.0,6.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.055153402814257214,national,before_dropout,5,1234
144007,75491,McLaughlin,national,2021-07-29,2021-08-03,Online Opt-In Panel,lv,1000.0,46.0,49.0,5.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.0331744960954821,national,before_dropout,6,1190
145354,76285,McLaughlin,national,2021-09-09,2021-09-14,Online Opt-In Panel,lv,1000.0,47.0,49.0,4.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.011668290874518459,national,before_dropout,6,1148
145617,76441,Rasmussen,national,2021-09-21,2021-09-22,IVR/Online Opt-In Panel,lv,1000.0,39.0,52.0,9.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.25767766692573135,national,before_dropout,2,1140
146302,76752,Victory Insights,florida,2021-09-16,2021-09-18,IVR,lv,450.0,50.7,49.3,0.0,0.5608834311631108,0.4298829273881028,0.131000503775008,-0.29400201616284144,state,before_dropout,3,1144
146596,76905,McLaughlin,national,2021-10-14,2021-10-18,Online Opt-In Panel,lv,1000.0,46.0,49.0,5.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.0331744960954821,national,before_dropout,5,1114
150177,77744,Redfield & Wilton Strategies,national,2021-11-15,2021-11-15,Online Opt-In Panel,rv,1500.0,33.0,42.0,25.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.21115765129083852,national,before_dropout,1,1086
150354,77791,McLaughlin,national,2021-11-11,2021-11-16,Online Opt-In Panel,lv,1000.0,42.0,50.0,8.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.1443489816187281,national,before_dropout,6,1085
150942,77982,Harris Poll,national,2021-11-30,2021-12-02,Online Opt-In Panel,rv,1989.0,41.0,50.0,9.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.16844653319778874,national,before_dropout,3,1069
150957,78037,Redfield & Wilton Strategies,national,2021-12-05,2021-12-05,Online Opt-In Panel,rv,1500.0,35.0,36.0,29.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,-0.0018335285593533235,national,before_dropout,1,1066
150959,78037,Redfield & Wilton Strategies,national,2021-12-05,2021-12-05,Online Opt-In Panel,lv,1148.0,38.0,42.0,20.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.07007905303093301,national,before_dropout,1,1066
151135,78084,Trafalgar Group,new hampshire,2021-12-10,2021-12-12,IVR/Live Phone/Text/Online Opt-In Panel/Email,lv,1041.0,46.0,47.8,6.200000000000003,0.478731864016587,0.5065281672837572,0.02779630326717014,0.0948235189396557,state,before_dropout,3,1059
151776,78272,Redfield & Wilton Strategies,national,2022-01-08,2022-01-09,Online Opt-In Panel,rv,1500.0,37.0,39.0,24.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.02263932795937229,national,before_dropout,2,1031
151778,78272,Redfield & Wilton Strategies,national,2022-01-08,2022-01-09,Online Opt-In Panel,lv,1261.0,41.0,41.0,18.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,-0.030004405526049573,national,before_dropout,2,1031
151940,78297,McLaughlin,national,2022-01-13,2022-01-18,Online Opt-In Panel,lv,1000.0,40.0,51.0,9.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.2129417730843399,national,before_dropout,6,1022
152062,78328,Harris Poll,national,2022-01-19,2022-01-20,Online Opt-In Panel,rv,1815.0,39.0,49.0,12.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.19825424645493062,national,before_dropout,2,1020
152591,78425,Redfield & Wilton Strategies,national,2022-02-06,2022-02-06,Online Opt-In Panel,rv,1500.0,36.0,39.0,25.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.05003830214748688,national,before_dropout,1,1003
152593,78425,Redfield & Wilton Strategies,national,2022-02-06,2022-02-06,Online Opt-In Panel,lv,1205.0,40.0,43.0,17.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.042316256053576605,national,before_dropout,1,1003
152619,78430,Susquehanna,national,2022-02-03,2022-02-09,Live Phone,lv,800.0,46.0,45.0,9.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,-0.05198331224482484,national,before_dropout,7,1000
152896,78490,Redfield & Wilton Strategies,national,2022-02-23,2022-02-23,Online Opt-In Panel,rv,1500.0,35.0,34.0,31.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,-0.0589919423993019,national,before_dropout,1,986
