pollster,house_effect,n_polls
Echelon Insights,6.093441007734119,2
co/efficient,3.101157366378455,1
Trafalgar Group,3.073599232104798,3
Quantus Insights,2.7871742960352717,1
AtlasIntel,2.6836014000393833,12
InsiderAdvantage,2.1497260444574384,4
Remington,2.094810919911678,1
American Pulse,2.067893034822042,2
Fabrizio/GBAO,1.9005538051294038,2
Fabrizio/McLaughlin,1.8841412376184934,1
OnMessage Inc.,1.8130921293480322,2
Patriot Polling,1.7596781138070574,2
Hunt Research,1.51765438916701,2
Emerson,1.318607356527521,5
RMG Research,1.0948109199116776,1
RG Strategies,1.0825849435740158,1
Global Strategy Group/North Star Opinion Research,1.0361785549245175,2
OnMessage Public Strategies,0.9994999174468658,1
J.L. Partners,0.9005538051294038,1
Redfield & Wilton Strategies,0.8280260193969363,9
Susquehanna,0.7756903936589179,2
North Star Opinion Research,0.6161340597543172,1
CNN/SSRS,0.5909955343091625,1
Monmouth,0.3367902389415892,2
The Washington Post,0.10545174745926192,4
Beacon/Shaw,0.08444242935752591,8
Muhlenberg,-0.15381720079170877,2
Research Co.,-0.24958396907169453,2
Benenson Strategy Group/GS Strategy Group,-0.4266523278221581,2
University of Massachusetts Lowell/YouGov,-0.45476150286475714,3
TIPP,-0.46585876238150803,4
Suffolk,-0.6457391629791154,2
Marist College,-0.8990132464954448,4
SoCal Strategies,-0.9099942962284532,1
YouGov/Center for Working Class Politics,-1.1005000825531286,1
YouGov,-1.1857168823360267,8
ActiVote,-1.2742010008512337,2
Quinnipiac,-1.2912958631131402,6
Bullfinch,-1.3663884161532458,4
CES / YouGov,-1.371610648991823,2
Siena/NYT,-1.395464717291286,12
Data for Progress,-1.409994296228453,1
Florida Atlantic University/Mainstreet Research,-1.4217496738803064,2
Fabrizio/Impact,-1.4221106755941109,2
Morning Consult,-1.6192824158272467,12
Franklin and Marshall College,-1.7055617982398563,4
Washington Post/George Mason University,-1.7320252597545958,2
Focaldata,-1.8108204183133116,7
Survation,-2.112938255508309,1
MassINC Polling Group,-3.396571728504903,2
