pollster,house_effect,n_polls
RMG Research,4.01053047703909,1
Washington Post/George Mason University,3.2892974732345315,2
Victory Insights,3.07581065567145,1
SoCal Strategies,2.796131630432383,2
TIPP,2.5872104587467226,1
The Washington Post,2.333751723963073,2
Trafalgar Group,2.294502460482177,4
PPP,2.0152840117770325,1
Fabrizio/Impact,1.8510730996251141,2
East Carolina University,1.384252723407092,3
Quantus Polls and News,1.2901505756035898,1
University of Massachusetts Lowell/YouGov,1.2678185662932722,1
Redfield & Wilton Strategies,1.1491635287044941,12
Florida Atlantic University/Mainstreet Research,1.015302488031833,2
Patriot Polling,0.983344786661138,2
Fabrizio/McLaughlin,0.85707265944745,1
Cygnal,0.6810838397310485,3
InsiderAdvantage,0.6521580391322668,4
Fabrizio/GBAO,0.353312966036196,2
Global Strategy Group/North Star Opinion Research,0.3337517239630732,2
Emerson,0.24312179876888895,6
Navigator,0.19066259314582829,2
Marist College,0.17678261902176728,4
Beacon/Shaw,0.0015347795008303217,10
Morning Consult,-0.16902051335723467,19
AtlasIntel,-0.2049188900447228,12
CES / YouGov,-0.24255529772114603,2
Meredith College,-0.48366975062091866,1
Focaldata,-0.5023538040334193,10
YouGov,-0.572745955702709,6
YouGov Blue,-0.7252198390779285,1
ActiVote,-0.7319103385441453,3
CNN/SSRS,-0.7792364156980512,2
Spry Strategies,-0.8057207809884999,2
Bullfinch,-1.1019273484681293,1
High Point University,-1.1662482760369268,2
SurveyUSA,-1.3629730681882033,5
Quinnipiac,-1.423045719448374,6
Benenson Strategy Group/GS Strategy Group,-1.9937170143042906,4
Siena/NYT,-2.2832041710323434,12
