pollster,house_effect,n_polls
Quinnipiac,5.986416383421737,2
Fabrizio/McLaughlin,4.538265344588922,1
U. Georgia SPIA,3.0594736093335007,1
RMG Research,2.5291334230752187,1
CES / YouGov,2.111404249644979,2
National Public Affairs,1.1613165219730057,1
Trafalgar Group,1.145451615744142,2
East Carolina University,0.8561128008520513,2
ActiVote,0.7793849043703618,2
AtlasIntel,0.7006481997341327,10
The Citadel,0.611404249644979,2
YouGov,0.4758092182823657,4
InsiderAdvantage,0.44201423896825215,2
Patriot Polling,0.21111248094089535,1
Morning Consult,0.2021419898180481,6
Redfield & Wilton Strategies,0.06435649698608831,6
SoCal Strategies,-0.02232876244734444,1
CNN/SSRS,-0.0936928923009483,1
Emerson,-0.7628132461060759,2
Marist College,-1.2424037346792434,2
Siena/NYT,-1.8640032433854181,4
Fabrizio/GBAO,-1.9537226930454377,2
TIPP,-2.2405263906665,4
Data for Progress,-2.274190781717634,1
Focaldata,-2.697336576718751,3
Washington Post/George Mason University,-5.527084003004394,2
