pollster,house_effect,n_polls
RMG Research,3.437461692573654,1
Victory Insights,3.037409029290409,1
Washington Post/George Mason University,2.936366955546176,2
TIPP,2.4375152059207332,1
Fabrizio/Impact,1.937364900907538,2
The Washington Post,1.9372396373402365,2
Trafalgar Group,1.9366901320777097,3
SoCal Strategies,1.8358832076176788,1
East Carolina University,1.586814687224527,2
University of Massachusetts Lowell/YouGov,1.4358735029603271,1
Quantus Polls and News,1.0375701594524382,1
Patriot Polling,1.0361431685363742,1
InsiderAdvantage,0.8697600061042589,3
Redfield & Wilton Strategies,0.8115879026980287,8
Focaldata,0.48255950065876513,7
Florida Atlantic University/Mainstreet Research,0.4377903032296088,2
Fabrizio/McLaughlin,0.43670173986339605,1
AtlasIntel,0.2780617388153156,12
Emerson,0.17671015802602824,5
Global Strategy Group/North Star Opinion Research,-0.0627603626597633,2
Fabrizio/GBAO,-0.06324593041750422,2
Marist College,-0.06324696206164175,4
CES / YouGov,-0.06409360133212831,2
Cygnal,-0.1131191113693664,2
YouGov,-0.2303144403274226,6
Beacon/Shaw,-0.4381740789836526,8
Morning Consult,-0.543986164740688,12
Meredith College,-0.562580276001549,1
ActiVote,-0.7634761363094806,2
CNN/SSRS,-1.0631530949831989,2
Bullfinch,-1.5624267538600658,1
High Point University,-1.5627603626597635,2
Siena/NYT,-1.5631975815366517,8
Quinnipiac,-1.8961793556327031,6
SurveyUSA,-1.8967902007091302,3
Benenson Strategy Group/GS Strategy Group,-2.0623098774285866,2
