pollster,house_effect,n_polls
Suffolk,4.886885155142082,1
PPP,3.639593091440164,3
Public Opinion Strategies,3.6223314093448393,1
Washington Post/George Mason University,3.0115258816646766,2
RMG Research,2.7376846627546145,1
Data Orbital,2.6412292166521603,2
Emerson,2.3548126388418193,7
AtlasIntel,1.9504266553280065,12
Fabrizio/McLaughlin,1.5623753742990276,1
Siena/NYT,1.2284925909662778,16
OnMessage Inc.,1.2071748431244411,1
Patriot Polling,1.121697710307087,2
InsiderAdvantage,1.1027149473870377,5
Navigator,0.9048716398360963,2
Peak Insights,0.8325758923617661,1
Fabrizio/Impact,0.7615325613982584,2
OnMessage Public Strategies,0.7376846627546145,1
CNN/SSRS,0.6675304165677511,2
Noble Predictive Insights,0.43848540402381225,3
U. Arizona/TrueDot,0.3654750493932229,2
CES / YouGov,0.35094539222073756,2
Trafalgar Group,0.2833555622338212,5
Beacon/Shaw,0.2721394661101964,6
Mitchell,0.27196446630347154,2
Redfield & Wilton Strategies,-0.007433521835091172,12
ActiVote,-0.011618098086874484,2
Spry Strategies,-0.2573529259276674,2
Marist College,-0.3477040597611862,4
YouGov,-0.5327401871464702,5
J.L. Partners,-0.6709804131375836,1
Data for Progress,-0.7704975424724902,1
Victory Insights,-1.0573344246117966,1
TIPP,-1.099410512005726,4
Iron Light,-1.167424107638234,1
SoCal Strategies,-1.6378183093648557,2
Global Strategy Group/North Star Opinion Research,-1.6926309808126443,2
Strategies 360,-1.9532284969941518,1
Focaldata,-1.9562939906532764,10
Morning Consult,-2.0252173666869506,19
National Research,-2.1926309808126443,1
HighGround,-2.7688441656537726,3
Fabrizio/GBAO,-3.4082365472224763,2
RABA Research,-3.6999878619396416,1
Benenson Strategy Group/GS Strategy Group,-3.9262524712780382,4
