pollster,house_effect,n_polls
OnMessage Public Strategies,2.805479298770271,1
Suffolk,2.703489821492413,1
Arc Insights,2.6294158822029057,1
co/efficient,2.577826440238873,1
Fabrizio/McLaughlin,2.5599588276056964,1
Remington,2.4400421698449524,1
Emerson,2.3075251856158565,4
Quinnipiac,2.201735796894406,6
OnMessage Inc.,2.099472020552035,2
RMG Research,1.8769057149859132,2
AtlasIntel,1.5647022957857444,12
InsiderAdvantage,1.4364716859723792,4
Quantus Insights,1.2428584205143378,1
Trafalgar Group,1.1759479581706365,3
Patriot Polling,1.1589559754893342,2
Fabrizio/GBAO,1.075566570347604,2
SoCal Strategies,1.042858420514335,1
Echelon Insights,0.9774237451349275,2
Fabrizio/Impact,0.6648484286881617,2
Global Strategy Group/North Star Opinion Research,0.4621910363175356,2
Morning Consult,0.34487528509476917,12
Redfield & Wilton Strategies,0.2719694974829808,8
Benenson Strategy Group/GS Strategy Group,0.19041212840056526,2
Marist College,-0.21889327260066355,4
TIPP,-0.2725762548650726,4
Florida Atlantic University/Mainstreet Research,-0.5365693055598766,2
Bullfinch,-1.068176744124218,2
Siena/NYT,-1.0706432573085338,8
Marquette Law School,-1.4239226238421796,8
Research Co.,-1.6302153803440296,2
ActiVote,-1.6917167752874849,2
Washington Post/George Mason University,-2.0478605302030157,2
YouGov,-2.2039720014392006,5
CES / YouGov,-2.773231598818165,2
Focaldata,-3.2662271091046864,7
RG Strategies,-3.6977726607738424,1
MassINC Polling Group,-3.957262175287073,2
CNN/SSRS,-4.904721003658207,1
