pollster,house_effect,n_polls
Fabrizio/GBAO,6.854106839571617,2
Susquehanna,5.146985102521008,1
Fabrizio/McLaughlin,4.367963397507115,1
OnMessage Inc.,3.7054221468419053,1
Fabrizio/Impact,2.9164368949617896,2
AtlasIntel,1.8638170369608464,10
CNN/SSRS,1.2652863480673804,1
InsiderAdvantage,1.117307914482459,1
Redfield & Wilton Strategies,1.1077054244154514,5
Trafalgar Group,0.18105234460611008,2
Washington Post/George Mason University,-0.0835631050382104,2
Morning Consult,-0.38286628942167156,5
Emerson,-0.8123562300386582,3
Noble Predictive Insights,-1.8530148974789928,1
YouGov,-1.8530148974789928,4
Patriot Polling,-1.9189207349425028,1
Data for Progress,-2.5315333335939743,1
Siena/NYT,-4.138160632208596,4
Focaldata,-4.22638341164137,3
CES / YouGov,-6.10850344619697,2
