pollster,house_effect,n_polls
Susquehanna,5.897688754210787,1
Fabrizio/GBAO,5.398762092719357,2
Fabrizio/McLaughlin,2.8987577172621957,1
OnMessage Inc.,2.898309795477877,1
AtlasIntel,2.527869219803589,10
Fabrizio/Impact,1.39872582599294,2
CNN/SSRS,0.8980628493926661,1
Redfield & Wilton Strategies,0.4982672908650725,5
InsiderAdvantage,0.09844044051079849,1
Patriot Polling,-0.0024521038706792064,1
Emerson,-0.535331088239769,3
Trafalgar Group,-0.601658904754873,2
Noble Predictive Insights,-1.1023112457892137,1
YouGov,-1.1023112457892137,4
Morning Consult,-1.5015024823927698,5
Washington Post/George Mason University,-1.60127417400706,2
Data for Progress,-2.102215800123925,1
Siena/NYT,-2.6024441116494454,4
Focaldata,-3.102379754280772,3
CES / YouGov,-6.601876185026189,2
