pollster,house_effect,n_polls
Suffolk,3.0483651366982043,1
Z to A Research,2.9176279558632565,2
OnMessage Public Strategies,2.889826204214474,1
Arc Insights,2.8255595170695553,1
Beacon/Shaw,2.787064299691969,2
Fabrizio/McLaughlin,2.784127187820686,1
OnMessage Inc.,2.632951344201363,2
Navigator,2.364456349260742,2
Emerson,2.3515641272267773,7
co/efficient,2.299353141329515,1
AtlasIntel,2.2904059543626247,12
Quinnipiac,2.212308202401793,6
Trafalgar Group,2.1907217057485995,4
Remington,2.095435389300985,1
Patriot Polling,2.0534998784663117,3
InsiderAdvantage,1.9608113241779637,5
Quantus Insights,1.8248205646208684,1
SoCal Strategies,1.6248205646208655,1
Echelon Insights,1.620287478058891,2
Quantus Polls and News,1.4930767407047685,1
Fabrizio/GBAO,1.2967745764956864,2
RMG Research,1.024836554843348,3
TIPP,0.7921527498408135,8
Florida Atlantic University/Mainstreet Research,0.6054443895298313,2
Global Strategy Group/North Star Opinion Research,0.43949010150985124,2
Redfield & Wilton Strategies,0.4128694968062891,12
Public Opinion Strategies,0.287589658758309,1
Fabrizio/Impact,0.19874537254859623,2
Marist College,-0.11414279176309075,4
BK Strategies,-0.5912429783138305,1
Marquette Law School,-0.7518522317450945,16
Morning Consult,-0.7768875269390991,18
Research Co.,-0.7914538306847505,2
Benenson Strategy Group/GS Strategy Group,-0.844759280647989,4
Spry Strategies,-0.8937136421242496,2
ActiVote,-1.227173184481451,2
Siena/NYT,-1.3468302324396406,12
Washington Post/George Mason University,-1.7922052969335764,2
YouGov,-2.0602123807748556,7
Fabrizio Ward,-2.0912429783138307,2
CES / YouGov,-2.359813894678659,2
Focaldata,-3.2311191936367987,10
Bullfinch,-3.721297918153477,4
RG Strategies,-3.959276263901916,1
CNN/SSRS,-3.9933920951444737,2
MassINC Polling Group,-4.367187233967278,2
