pollster,house_effect,n_polls
RMG Research,3.9651059122188452,1
Washington Post/George Mason University,3.1484876808932345,2
Victory Insights,3.077727471149041,1
TIPP,2.645373605102735,1
The Washington Post,2.211134753478519,2
Trafalgar Group,2.0765555694279323,3
Fabrizio/Impact,1.853124730055203,2
East Carolina University,1.8069068240650041,2
SoCal Strategies,1.475114647113428,1
Quantus Polls and News,1.3621903824869184,1
Florida Atlantic University/Mainstreet Research,1.2246662218124598,2
University of Massachusetts Lowell/YouGov,1.0898263679180082,1
Redfield & Wilton Strategies,0.8236664619407628,8
Fabrizio/McLaughlin,0.707369398503237,1
InsiderAdvantage,0.5706359640318965,3
Global Strategy Group/North Star Opinion Research,0.21113475347851915,2
Fabrizio/GBAO,0.20093214153899666,2
Focaldata,0.18302232648072125,7
Emerson,0.0775557463714618,5
Marist College,0.07288716309637439,4
Cygnal,-0.07816206878439197,2
AtlasIntel,-0.15321070802072154,12
Beacon/Shaw,-0.21440939804007303,8
Morning Consult,-0.3426103115552492,12
CES / YouGov,-0.3605829902001347,2
Patriot Polling,-0.3692063464342034,1
YouGov,-0.4992712924113272,6
Meredith College,-0.5156383442085415,1
CNN/SSRS,-0.7588723905422448,2
ActiVote,-1.0387000409987779,2
Bullfinch,-1.1176363402149578,1
Benenson Strategy Group/GS Strategy Group,-1.2571267433075877,2
High Point University,-1.2888652465214812,2
Quinnipiac,-1.4565811186003454,6
SurveyUSA,-1.8456623760854447,3
Siena/NYT,-1.952817869440498,8
