pollster,house_effect,n_polls
SoCal Research,4.710503777605054,3
J.L. Partners,3.502824353232258,7
AtlasIntel,3.349725502590262,14
OnMessage Inc.,3.2606395733827744,3
HarrisX/Harris Poll,2.409375013373789,9
McLaughlin,2.383078185740504,8
Siena/NYT,2.3275318400914227,18
Beacon/Shaw,2.2929384539529236,7
Pew,2.206821690096602,4
Fabrizio/GBAO,2.0373331076620795,6
Quinnipiac,2.013711880071109,6
Quantus Insights,1.8042341056784963,2
Big Data Poll,1.6597312981051797,15
CNN/SSRS,1.5649793091274478,5
Hart/POS,1.350324803410621,9
Manhattan Institute,1.2950084709729748,2
Kaiser Family Foundation,1.2154109097427697,1
Quantus Polls and News,1.2146681351866182,2
Yale Youth Poll,1.2042024117984134,1
ActiVote,1.1891458902505307,16
HarrisX,1.151268701166472,47
Redfield & Wilton Strategies,1.146130916264079,11
RMG Research,1.1215960676626218,15
Noble Predictive Insights,0.8145560609644397,7
SoCal Strategies,0.781469917818251,4
Cygnal,0.7210008867693096,8
TIPP,0.6687061561506328,36
McCourtney Institute/YouGov,0.6194327302612945,1
Change Research,0.536760873028161,4
Florida Atlantic University/Mainstreet Research,0.5272326665350306,14
co/efficient,0.5042024117984105,1
Emerson,0.3883798623584169,8
Suffolk,0.28916169091455557,3
Echelon Insights,0.23916882731474842,8
YouGov,0.14160365104043657,56
SurveyUSA,0.0752206627302765,3
Survey Center on American Life,0.020839508644089788,1
SurveyMonkey,-0.020218972377962847,3
American Pulse,-0.03968008213039531,4
Patriot Polling,-0.07275712635265708,2
YouGov/SNF Agora,-0.09505735499317902,1
Paradigm,-0.19233378081314023,1
Echelon Insights/GBAO,-0.4613465118351827,1
Tufts,-0.5140100112241959,2
Data for Progress,-0.5375387185571217,6
ABC News/Ipsos,-0.565006019805555,20
UMass Amherst/YouGov,-0.6585187793684011,2
Monmouth,-0.6603135774362565,2
Kaplan Strategies,-0.8524697710623076,3
Ipsos,-0.8770541098955354,41
Deltapoll,-0.8817985494440508,1
Marist College,-0.9368173217195183,12
Research Co.,-1.1204601697195329,2
Leger,-1.2058933308722315,7
Institute for Global Affairs/YouGov,-1.2080275936807816,1
Navigator,-1.2225407007434355,2
Angus Reid,-1.2885735362568973,5
Morning Consult,-1.2989657839229996,146
Big Village,-1.355872349090344,33
Embold Research,-1.3960006947910932,1
Susquehanna,-1.9267447739070656,1
Marquette Law School,-1.9427003043793434,8
Clarity,-2.2601071433723154,4
CES / YouGov,-2.311796774590575,2
Targoz Market Research,-2.328321552165468,2
RABA Research,-2.3511775580488354,1
ABC/Washington Post,-2.501343365580608,6
Fairleigh Dickinson,-2.5153926595787155,2
John Zogby Strategies,-2.6246279365051963,2
Outward Intelligence,-2.7415326746829924,12
Civiqs,-3.0950573549931795,1
Split Ticket/Data for Progress,-3.300185454757311,1
Gateway Political Strategies,-3.61887044825664,1
PRRI,-3.7845890902572306,1
Bullfinch,-4.041877765668358,2
Bendixen & Amandi International,-4.3109575910762725,1
