question_id,pct_harris_poll,pct_trump_poll,poll_id,pollster,state,start_date,end_date,mode,population,sample_size,pct_dk,p_trump_true,p_harris_true,abs_margin,A,poll_level,period
142439,45.0,49.0,74819,McLaughlin,national,2021-05-12,2021-05-18,Online Opt-In Panel,lv,1000.0,6.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.055153402814257214,national,before_dropout
142927,47.0,40.0,74995,Echelon Insights,national,2021-06-18,2021-06-22,Online Opt-In Panel,rv,1001.0,13.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,-0.1912725531221718,national,before_dropout
142946,45.0,49.0,74998,McLaughlin,national,2021-06-16,2021-06-20,Online Opt-In Panel,lv,1000.0,6.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.055153402814257214,national,before_dropout
144007,46.0,49.0,75491,McLaughlin,national,2021-07-29,2021-08-03,Online Opt-In Panel,lv,1000.0,5.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.0331744960954821,national,before_dropout
145354,47.0,49.0,76285,McLaughlin,national,2021-09-09,2021-09-14,Online Opt-In Panel,lv,1000.0,4.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.011668290874518459,national,before_dropout
145617,39.0,52.0,76441,Rasmussen,national,2021-09-21,2021-09-22,IVR/Online Opt-In Panel,lv,1000.0,9.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.25767766692573135,national,before_dropout
146302,50.7,49.3,76752,Victory Insights,florida,2021-09-16,2021-09-18,IVR,lv,450.0,0.0,0.5608834311631108,0.4298829273881028,0.131000503775008,-0.29400201616284144,state,before_dropout
146596,46.0,49.0,76905,McLaughlin,national,2021-10-14,2021-10-18,Online Opt-In Panel,lv,1000.0,5.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.0331744960954821,national,before_dropout
150177,33.0,42.0,77744,Redfield & Wilton Strategies,national,2021-11-15,2021-11-15,Online Opt-In Panel,rv,1500.0,25.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.21115765129083852,national,before_dropout
150354,42.0,50.0,77791,McLaughlin,national,2021-11-11,2021-11-16,Online Opt-In Panel,lv,1000.0,8.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.1443489816187281,national,before_dropout
150942,41.0,50.0,77982,Harris Poll,national,2021-11-30,2021-12-02,Online Opt-In Panel,rv,1989.0,9.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.16844653319778874,national,before_dropout
150957,35.0,36.0,78037,Redfield & Wilton Strategies,national,2021-12-05,2021-12-05,Online Opt-In Panel,rv,1500.0,29.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,-0.0018335285593533235,national,before_dropout
150959,38.0,42.0,78037,Redfield & Wilton Strategies,national,2021-12-05,2021-12-05,Online Opt-In Panel,lv,1148.0,20.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.07007905303093301,national,before_dropout
151135,46.0,47.8,78084,Trafalgar Group,new hampshire,2021-12-10,2021-12-12,IVR/Live Phone/Text/Online Opt-In Panel/Email,lv,1041.0,6.200000000000003,0.478731864016587,0.5065281672837572,0.02779630326717014,0.0948235189396557,state,before_dropout
151776,37.0,39.0,78272,Redfield & Wilton Strategies,national,2022-01-08,2022-01-09,Online Opt-In Panel,rv,1500.0,24.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.02263932795937229,national,before_dropout
151778,41.0,41.0,78272,Redfield & Wilton Strategies,national,2022-01-08,2022-01-09,Online Opt-In Panel,lv,1261.0,18.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,-0.030004405526049573,national,before_dropout
151940,40.0,51.0,78297,McLaughlin,national,2022-01-13,2022-01-18,Online Opt-In Panel,lv,1000.0,9.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.2129417730843399,national,before_dropout
152062,39.0,49.0,78328,Harris Poll,national,2022-01-19,2022-01-20,Online Opt-In Panel,rv,1815.0,12.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.19825424645493062,national,before_dropout
152591,36.0,39.0,78425,Redfield & Wilton Strategies,national,2022-02-06,2022-02-06,Online Opt-In Panel,rv,1500.0,25.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.05003830214748688,national,before_dropout
152593,40.0,43.0,78425,Redfield & Wilton Strategies,national,2022-02-06,2022-02-06,Online Opt-In Panel,lv,1205.0,17.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.042316256053576605,national,before_dropout
152619,46.0,45.0,78430,Susquehanna,national,2022-02-03,2022-02-09,Live Phone,lv,800.0,9.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,-0.05198331224482484,national,before_dropout
152896,35.0,34.0,78490,Redfield & Wilton Strategies,national,2022-02-23,2022-02-23,Online Opt-In Panel,rv,1500.0,31.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,-0.0589919423993019,national,before_dropout
152898,41.0,37.0,78490,Redfield & Wilton Strategies,national,2022-02-23,2022-02-23,Online Opt-In Panel,lv,1143.0,22.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,-0.13265855958613285,national,before_dropout
152912,43.0,50.0,78491,McLaughlin,national,2022-02-16,2022-02-22,Online Opt-In Panel,lv,1000.0,7.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.12081848420853421,national,before_dropout
152989,39.0,51.0,78499,Harris Poll,national,2022-02-23,2022-02-24,Online Opt-In Panel,rv,2026.0,10.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.23825958106862982,national,before_dropout
153548,32.0,39.0,78561,Redfield & Wilton Strategies,national,2022-03-08,2022-03-08,Online Opt-In Panel,rv,1500.0,29.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.16782133780387035,national,before_dropout
153550,37.0,42.0,78561,Redfield & Wilton Strategies,national,2022-03-08,2022-03-08,Online Opt-In Panel,lv,1194.0,21.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.09674730011309426,national,before_dropout
153577,43.0,47.0,78569,Schoen Cooperman,national,2022-03-02,2022-03-09,Online Opt-In Panel/Text-to-Web,lv,800.0,10.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.05894308049044663,national,before_dropout
154121,42.0,50.0,78662,McLaughlin,national,2022-03-17,2022-03-22,Online Opt-In Panel,lv,1000.0,8.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.1443489816187281,national,before_dropout
154138,35.0,37.0,78664,Redfield & Wilton Strategies,national,2022-03-20,2022-03-20,Online Opt-In Panel,rv,1500.0,28.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.025565445628761157,national,before_dropout
154140,39.0,42.0,78664,Redfield & Wilton Strategies,national,2022-03-20,2022-03-20,Online Opt-In Panel,lv,1193.0,19.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.04410356662767219,national,before_dropout
154201,38.0,49.0,78679,Harris Poll,national,2022-03-23,2022-03-24,Online Opt-In Panel,rv,1990.0,13.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.22422973285819123,national,before_dropout
154492,32.0,38.0,78726,Redfield & Wilton Strategies,national,2022-04-03,2022-04-03,Online Opt-In Panel,rv,1500.0,30.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.14184585140060962,national,before_dropout
154494,35.0,44.0,78726,Redfield & Wilton Strategies,national,2022-04-03,2022-04-03,Online Opt-In Panel,lv,1205.0,21.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.19883716690279782,national,before_dropout
154767,39.0,45.0,78797,Redfield & Wilton Strategies,national,2022-04-18,2022-04-18,Online Opt-In Panel,lv,1500.0,16.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.11309643811462364,national,before_dropout
154848,43.0,47.0,78805,Echelon Insights,national,2022-04-18,2022-04-20,Online Opt-In Panel,lv,1001.0,10.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.05894308049044663,national,before_dropout
