pollster,house_effect,n_polls
Echelon Insights,5.6770644045587515,2
co/efficient,3.333261992676107,1
Trafalgar Group,2.800873860335613,3
Quantus Insights,2.6223224885153837,1
Remington,2.567225264528468,1
American Pulse,2.470647714573152,2
Fabrizio/GBAO,2.3582258696155254,2
Fabrizio/McLaughlin,2.3173881011481,1
AtlasIntel,2.156468392096695,12
InsiderAdvantage,2.0351934542638097,4
Hunt Research,2.0117859397197426,2
OnMessage Inc.,1.8724966211258591,2
Global Strategy Group/North Star Opinion Research,1.67283494445527,2
OnMessage Public Strategies,1.646157433231717,1
RG Strategies,1.6132834067756179,1
RMG Research,1.5672252645284679,1
Patriot Polling,1.4274764598516363,2
Emerson,1.3881163745885685,5
J.L. Partners,1.3582258696155254,1
Susquehanna,0.9481254539178493,2
Redfield & Wilton Strategies,0.9111087690245776,9
Monmouth,0.3742286450075357,2
North Star Opinion Research,0.29493317958844445,1
The Washington Post,0.14744936386942872,4
Benenson Strategy Group/GS Strategy Group,0.14573649387746043,2
CNN/SSRS,0.13517388323945348,1
Beacon/Shaw,0.1286256558430486,8
TIPP,-0.03261189885190144,4
Muhlenberg,-0.13676489917583248,2
University of Massachusetts Lowell/YouGov,-0.22497723224522562,3
YouGov/Center for Working Class Politics,-0.45384256676827717,1
Suffolk,-0.6287605012920238,2
Research Co.,-0.6530480425161254,2
Fabrizio/Impact,-0.8779225715533564,2
Marist College,-0.8886282504785789,4
Bullfinch,-1.1102435713288517,4
Quinnipiac,-1.1117352846202322,6
SoCal Strategies,-1.4278417022035512,1
Siena/NYT,-1.4309039318050105,12
Morning Consult,-1.464525084018474,12
ActiVote,-1.492728669645416,2
YouGov,-1.5036968883905737,8
CES / YouGov,-1.6382778919246785,2
Franklin and Marshall College,-1.711478371705918,4
Washington Post/George Mason University,-1.7201453728222562,2
Focaldata,-1.8316003345758336,7
Data for Progress,-1.9278417022035512,1
Florida Atlantic University/Mainstreet Research,-2.4311938331682894,2
MassINC Polling Group,-2.957627004274769,2
Survation,-3.7572406199852435,1
