pollster,house_effect,n_polls
SoCal Research,5.107675356911219,1
Global Strategy Group/North Star Opinion Research,2.972865238977332,2
AtlasIntel,2.865226749044917,12
Public Opinion Strategies,2.5149883502017594,1
Fabrizio Ward,2.441000470351321,2
The Washington Post,2.298427407855379,2
Trafalgar Group,2.220125425104146,4
Fabrizio/Impact,2.1802621298961773,4
Navigator,1.9917532848440018,2
InsiderAdvantage,1.6573573347691606,5
Fabrizio/McLaughlin,1.643499786885502,1
Siena/NYT,1.620847233910289,12
Echelon Insights,1.559102944027185,2
co/efficient,1.5490782515079147,1
OnMessage Inc.,1.4491815869439306,1
EPIC-MRA,1.3035856197165119,3
Redfield & Wilton Strategies,1.1418460077589896,12
Quantus Insights,1.0984274078553764,1
Z to A Research,1.0561647256470783,2
Patriot Polling,0.9987413096677643,3
Emerson,0.8712713912987995,7
Suffolk,0.8125489486138143,2
Mitchell,0.7902408601040073,8
Beacon/Shaw,0.7534065864769494,6
Cygnal,0.6511059512964135,1
ActiVote,0.37537472265000316,3
Washington Post/George Mason University,0.3712530194391952,2
Glengariff Group Inc.,0.2585534673147336,4
MRG (Marketing Resource Group),-0.17347921286588208,1
SoCal Strategies,-0.19991666000205544,1
TIPP,-0.26257501962653174,4
Remington,-0.43491557397377645,1
RMG Research,-0.5044857846108846,2
Quinnipiac,-0.5269500735592155,6
YouGov,-0.7309107429962659,7
Benenson Strategy Group/GS Strategy Group,-1.009996662578494,4
OnMessage Public Strategies,-1.0925952328507276,1
Florida Atlantic University/Mainstreet Research,-1.1987386472218269,2
Fabrizio/GBAO,-1.4091038361773391,2
Marist College,-1.9050311841241587,4
Research Co.,-2.15421360182224,2
Morning Consult,-2.400173649468563,18
University of Massachusetts Lowell/YouGov,-2.868523030818356,2
Focaldata,-3.0231579740093126,10
CNN/SSRS,-3.2599604940194764,2
Susquehanna,-3.387471927580024,1
Michigan State University/YouGov,-4.113166517800498,1
CES / YouGov,-4.351483043791021,2
RG Strategies,-4.710296564004035,1
Bullfinch,-5.106024853376215,4
