pollster,house_effect,n_polls
Suffolk,5.6999479491382985,1
RMG Research,3.3443022857890146,1
Washington Post/George Mason University,3.242045494941168,2
Siena/NYT,3.0766930036587445,12
Data Orbital,2.4623046720948456,2
Beacon/Shaw,2.1999479491382985,4
Fabrizio/McLaughlin,1.8412082336584883,1
Fabrizio/Impact,1.4045045276769121,2
OnMessage Public Strategies,1.344302285789015,1
AtlasIntel,1.2381982589261586,12
Emerson,1.0717257585412254,4
InsiderAdvantage,0.5439837348811333,3
OnMessage Inc.,0.3730235254266644,1
CES / YouGov,0.22108227044473386,2
Redfield & Wilton Strategies,0.16742818727712902,8
Marist College,0.13679208911346688,4
Trafalgar Group,-0.13293172761051095,4
Mitchell,-0.24337363620130045,2
Patriot Polling,-0.36181451998895475,1
ActiVote,-0.38825192104044937,2
J.L. Partners,-0.9245060428641935,1
Global Strategy Group/North Star Opinion Research,-0.9884769553761256,2
YouGov,-1.154635260958271,5
Noble Predictive Insights,-1.4825043087180043,1
Data for Progress,-1.4825043087180043,1
National Research,-1.4884769553761255,1
HighGround,-1.7398293425401614,2
SoCal Strategies,-1.865396966578109,2
Morning Consult,-1.9364477679054481,12
U. Arizona/TrueDot,-2.061181729704191,1
Benenson Strategy Group/GS Strategy Group,-2.6793628884784795,2
CNN/SSRS,-2.9245060428641936,1
Victory Insights,-3.0618145199889506,1
Fabrizio/GBAO,-3.0793245656681503,2
Focaldata,-3.7534081193738515,7
RABA Research,-4.075119005464133,1
