pollster,house_effect,n_polls
Quinnipiac,5.562809844686896,2
Fabrizio/McLaughlin,4.0628520534280135,1
U. Georgia SPIA,2.6628063046118395,1
RMG Research,2.0628436144541977,1
CES / YouGov,2.062609997387795,2
National Public Affairs,1.0626356901359186,1
AtlasIntel,1.0026363544395422,10
Trafalgar Group,0.9127225107174944,2
ActiVote,0.8627058231120864,2
Patriot Polling,0.8626433886235235,1
East Carolina University,0.8126917766110546,2
YouGov,0.8125737085352135,4
InsiderAdvantage,0.5627246045257063,2
The Citadel,0.5626099973877955,2
SoCal Strategies,0.06256328253398108,1
CNN/SSRS,0.06254503779789428,1
Morning Consult,-0.003947428658450566,6
Redfield & Wilton Strategies,-0.10395598256647236,6
Emerson,-0.7372627277687355,2
Marist College,-1.4373129323225757,2
Siena/NYT,-1.437408392257336,4
Data for Progress,-1.9374262914647864,1
Focaldata,-2.2707417255906694,3
Fabrizio/GBAO,-2.437138446742066,2
TIPP,-2.6371936953881616,4
Washington Post/George Mason University,-5.9371941795721135,2
