pollster,house_effect,n_polls
SoCal Research,6.6663200515397945,2
AtlasIntel,3.755822832449553,14
OnMessage Inc.,3.291262419791858,3
Beacon/Shaw,2.984193856443921,6
J.L. Partners,2.6985016986826227,6
Quinnipiac,2.66873016413547,4
McLaughlin,2.4507971731481457,6
Siena/NYT,2.3948727901789093,18
HarrisX/Harris Poll,2.3836345612494143,9
CNN/SSRS,2.2300059027696393,4
Fabrizio/GBAO,2.060440643476278,6
Pew,2.0602759634556933,4
Quantus Insights,1.9116430743781319,2
Hart/POS,1.8175237170970915,8
Big Data Poll,1.6623337148515254,15
Yale Youth Poll,1.4181066528863457,1
Kaiser Family Foundation,1.2789347898000347,1
ActiVote,1.2225788914485878,16
RMG Research,1.131094988969461,15
Quantus Polls and News,1.0234941852211312,2
HarrisX,0.9919875769858629,41
TIPP,0.8665891265731313,36
Redfield & Wilton Strategies,0.8281559573224939,10
SoCal Strategies,0.8188661505676725,4
Noble Predictive Insights,0.74907697357947,5
co/efficient,0.718106652886343,1
Change Research,0.6680653404840546,4
Cygnal,0.6283102632958947,8
Patriot Polling,0.5319151661625762,2
McCourtney Institute/YouGov,0.5094152302839251,1
Suffolk,0.30277596860597217,3
Echelon Insights,0.2757795999221387,7
YouGov,0.17975767998926495,50
SurveyMonkey,0.13705785306868334,3
Emerson,0.13018735894223085,7
American Pulse,0.03148010168453874,4
Paradigm,-0.10607329640693763,1
YouGov/SNF Agora,-0.12417633626569557,1
Survey Center on American Life,-0.1340637930966685,1
Marist College,-0.25936358926134645,11
ABC News/Ipsos,-0.5376823243142428,20
Echelon Insights/GBAO,-0.5530402240121889,1
Tufts,-0.5628474418504704,2
Ipsos,-0.5856064834894334,37
Florida Atlantic University/Mainstreet Research,-0.6194057975930255,10
Research Co.,-0.6398749630045245,2
UMass Amherst/YouGov,-0.6728629168671104,2
Monmouth,-0.7411632827652715,2
Data for Progress,-0.7571101894274014,5
SurveyUSA,-0.8544565031873711,1
Kaplan Strategies,-0.908533369159262,3
Deltapoll,-1.0461504182854324,1
Leger,-1.0818982183927766,7
Navigator,-1.2900287505637875,2
Institute for Global Affairs/YouGov,-1.2969046660333206,1
Morning Consult,-1.3202942474140746,145
Angus Reid,-1.402326638298356,5
John Zogby Strategies,-1.4294782369436807,2
Embold Research,-1.5064241407429702,1
Big Village,-1.6892747858949986,30
Susquehanna,-1.8184635261107052,1
ABC/Washington Post,-1.8424564568420871,5
Marquette Law School,-1.9124919329850911,8
Targoz Market Research,-1.9660722508459734,2
Clarity,-2.356629024816031,4
RABA Research,-2.3591108319181977,1
Fairleigh Dickinson,-2.4850269838939583,2
CES / YouGov,-2.5599370779960844,2
Outward Intelligence,-2.736947253819301,12
Civiqs,-3.1241763362656956,1
Gateway Political Strategies,-3.6191866211748063,1
PRRI,-3.7210652101999653,1
Bullfinch,-3.9646960097716906,2
