question_id,poll_id,pollster,end_date,sample_size,poll_margin,true_margin,filtered,filtered_se,smoothed,smoothed_se,total_error,sampling_noise,systematic_bias,weight,period
203624,87511,SoCal Research,2024-07-21,800.0,8.0,1.4723355621959089,8.0,3.4873060013145403,3.327345623891457,0.6416404160161655,6.527664437804091,4.672654376108543,1.855010061695548,0.0,after_dropout
203794,87524,Quinnipiac,2024-07-21,1257.0,2.0,1.4723355621959089,4.313891405104785,2.1656382748997465,3.3273456238914574,0.6416404160161662,0.5276644378040911,-1.3273456238914574,1.8550100616955485,0.6143514324825358,after_dropout
203669,87520,Echelon Insights,2024-07-21,982.0,2.0,1.4723355621959089,3.5634963575065948,1.7801757016542954,3.3273456238914574,0.6416404160161662,0.5276644378040911,-1.3273456238914574,1.8550100616955485,0.3243000280578029,after_dropout
203736,87521,HarrisX,2024-07-21,2753.0,6.0,1.4723355621959089,4.70093658307741,1.299853813826249,3.3273456238914574,0.6416404160161663,4.527664437804091,2.6726543761085426,1.8550100616955485,0.4668329674265584,after_dropout
203737,87521,HarrisX,2024-07-21,2169.0,8.0,1.4723355621959089,5.589882307652045,1.1110108652672046,3.3273456238914574,0.6416404160161663,6.527664437804091,4.672654376108543,1.8550100616955485,0.26945396684852324,after_dropout
203625,87511,SoCal Research,2024-07-21,800.0,6.0,1.4723355621959089,5.635124167210783,1.0479404477364256,3.3273456238914574,0.6416404160161663,4.527664437804091,2.6726543761085426,1.8550100616955485,0.11031433269734005,after_dropout
203795,87524,Quinnipiac,2024-07-21,1257.0,4.0,1.4723355621959089,5.408603631951361,0.972647861977264,3.3273456238914574,0.6416404160161663,2.5276644378040913,0.6726543761085426,1.8550100616955485,0.1385341491501679,after_dropout
203852,87528,Florida Atlantic University/Mainstreet Research,2024-07-21,780.0,4.799999999999997,1.4723355621959089,5.362375831105779,0.934978642726883,3.3273456238914574,0.6416404160161663,3.3276644378040885,1.4726543761085398,1.8550100616955485,0.07595715572278539,after_dropout
203853,87528,Florida Atlantic University/Mainstreet Research,2024-07-21,711.0,5.299999999999997,1.4723355621959089,5.358437232331329,0.9049786580606338,3.3273456238914574,0.6416404160161663,3.8276644378040885,1.9726543761085398,1.8550100616955485,0.063143026788231,after_dropout
203855,87528,Florida Atlantic University/Mainstreet Research,2024-07-21,711.0,6.0,1.4723355621959089,5.399917261384057,0.8752342988747546,3.3273456238914574,0.6416404160161663,4.527664437804091,2.6726543761085426,1.8550100616955485,0.06465467003869219,after_dropout
203854,87528,Florida Atlantic University/Mainstreet Research,2024-07-21,780.0,5.899999999999999,1.4723355621959089,5.433900361798295,0.8449728978148712,3.3273456238914574,0.6416404160161663,4.42766443780409,2.572654376108541,1.8550100616955485,0.06795495583049269,after_dropout
203980,87531,Marist College,2024-07-22,1117.0,0.0,1.4723355621959089,4.683291224693899,1.0192110991669026,1.8777838236483975,0.5864040254954194,-1.4723355621959089,-1.8777838236483975,0.4054482614524886,0.1381345050750966,after_dropout
203979,87531,Marist College,2024-07-22,1117.0,1.0,1.4723355621959089,4.266711117350691,0.9598458258193792,1.8777838236483975,0.5864040254954194,-0.4723355621959089,-0.8777838236483975,0.4054482614524886,0.11309996465941352,after_dropout
203944,87529,YouGov,2024-07-22,1178.0,0.0,1.4723355621959089,3.8164912132986104,0.9077933442632603,1.8777838236483975,0.5864040254954194,-1.4723355621959089,-1.8777838236483975,0.4054482614524886,0.10551919069965848,after_dropout
203943,87529,YouGov,2024-07-22,1178.0,2.0,1.4723355621959089,3.6282293207507883,0.859464868426649,1.8777838236483975,0.5864040254954194,0.5276644378040911,0.12221617635160253,0.4054482614524886,0.10364040914128782,after_dropout
