question_id,pct_harris_poll,pct_trump_poll,poll_id,pollster,state,start_date,end_date,mode,population,sample_size,pct_dk,p_trump_true,p_harris_true,abs_margin,A,trump_part_A,harris_part_A,poll_level,has_self_admin,has_interviewer,has_explicit_mixed,has_other
203620,39.3,40.2,87509,Praecones Analytica,new hampshire,2024-07-19,2024-07-21,,rv,601.0,0.0,0.478731864016587,0.5065281672837572,0.02779630326717014,0.07908175268110039,-0.17468856920860776,-0.25377032188970816,state,False,False,False,True
203624,43.0,51.0,87511,SoCal Research,national,2024-07-21,2024-07-21,Online Ad,lv,800.0,6.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.14062111150471396,0.023599925686044965,-0.11702118581866894,national,True,False,False,False
203625,37.0,43.0,87511,SoCal Research,national,2024-07-21,2024-07-21,Online Ad,lv,800.0,4.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.12027779752328828,-0.14702559134471838,-0.26730338886800686,national,True,False,False,False
203665,46.0,50.0,87518,SoCal Research,pennsylvania,2024-07-20,2024-07-21,Online Ad,lv,500.0,4.0,0.5037253671558666,0.4866280572391539,0.017097309916712655,0.04885048426695596,-0.007423114696938016,-0.056273598963893834,state,True,False,False,False
203669,47.0,49.0,87520,Echelon Insights,national,2024-07-19,2024-07-21,Online Opt-In Panel,lv,982.0,4.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.011668290874518459,-0.016405408927654186,-0.02807369980217278,national,True,False,False,False
203736,47.0,53.0,87521,HarrisX,national,2024-07-19,2024-07-21,Online Opt-In Panel,rv,2753.0,0.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.0901399063160137,0.06206620651384109,-0.02807369980217278,national,True,False,False,False
203737,46.0,54.0,87521,HarrisX,national,2024-07-19,2024-07-21,Online Opt-In Panel,lv,2169.0,0.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.13033824454912987,0.08075833952599365,-0.04957990502313625,national,True,False,False,False
203777,45.0,47.0,87523,Morning Consult,national,2024-07-21,2024-07-22,Online Opt-In Panel,rv,4001.0,8.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.01348070641368928,-0.05807810532822222,-0.07155881174191159,national,True,False,False,False
203794,47.0,49.0,87524,Quinnipiac,national,2024-07-19,2024-07-21,Live Phone,rv,1257.0,4.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.011668290874518459,-0.016405408927654186,-0.02807369980217278,national,False,True,False,False
203795,41.0,45.0,87524,Quinnipiac,national,2024-07-19,2024-07-21,Live Phone,rv,1257.0,4.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.06308601753996243,-0.10156321726796103,-0.1646492348079236,national,False,True,False,False
203852,42.6,47.4,87528,Florida Atlantic University/Mainstreet Research,national,2024-07-19,2024-07-21,IVR/Online Opt-In Panel,rv,780.0,10.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.07676356989965638,-0.049603478337249984,-0.1263670482369066,national,True,True,False,False
203853,43.6,48.9,87528,Florida Atlantic University/Mainstreet Research,national,2024-07-19,2024-07-21,IVR/Online Opt-In Panel,lv,711.0,7.5,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.08471584059978812,-0.01844831055745444,-0.10316415115724276,national,True,True,False,False
203854,38.2,44.1,87528,Florida Atlantic University/Mainstreet Research,national,2024-07-19,2024-07-21,IVR/Online Opt-In Panel,rv,780.0,7.699999999999989,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.11361986131422125,-0.12176592458548041,-0.23538578589970183,national,True,True,False,False
203855,39.3,45.3,87528,Florida Atlantic University/Mainstreet Research,national,2024-07-19,2024-07-21,IVR/Online Opt-In Panel,lv,711.0,6.6000000000000085,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.1120781080877232,-0.09491867454929248,-0.20699678263701593,national,True,True,False,False
203943,41.0,43.0,87529,YouGov,national,2024-07-19,2024-07-22,Online Matched Sample,rv,1178.0,8.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,0.017623643463205125,-0.14702559134471838,-0.1646492348079236,national,True,False,False,False
203944,46.0,46.0,87529,YouGov,national,2024-07-19,2024-07-22,Online Matched Sample,rv,1178.0,8.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,-0.030004405526049573,-0.07958431054918569,-0.04957990502313625,national,True,False,False,False
203948,39.0,39.0,87530,Ipsos,national,2024-07-22,2024-07-23,Probability Panel,a,1241.0,22.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,-0.030004405526049573,-0.24466406090863435,-0.2146596553825849,national,True,False,False,False
203949,44.0,42.0,87530,Ipsos,national,2024-07-22,2024-07-23,Probability Panel,rv,1018.0,14.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,-0.07652442116094241,-0.17055608875491246,-0.09403166759397019,national,True,False,False,False
203950,37.0,34.0,87530,Ipsos,national,2024-07-22,2024-07-23,Probability Panel,a,1241.0,19.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,-0.11456179355411261,-0.3818651824221192,-0.26730338886800686,national,True,False,False,False
203951,42.0,38.0,87530,Ipsos,national,2024-07-22,2024-07-23,Probability Panel,rv,1018.0,12.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,-0.13008786408303213,-0.270639547311895,-0.14055168322886302,national,True,False,False,False
203979,45.0,46.0,87531,Marist College,national,2024-07-22,2024-07-22,Online Opt-In Panel,rv,1117.0,9.0,0.4981049511152404,0.48338159549328136,0.014723355621959033,-0.008025498807274375,-0.07958431054918569,-0.07155881174191159,national,True,False,False,False
